context,response,relation,setting
"Good morning . My name is Mr . Brown . I'm from Australia . Here is my card . </UTT> Thank you . I'm pleased to meet you , Mr . Brown . My name is Kathy Pewless , the representative of Green Textile Import and Export Corporation . </UTT> Pleased to meet you too , Ms . Pewless . I travel a lot every year on business , but this is my first visit to your country . I must say I have been much impressed by your friendly people . </UTT> Thank you for saying so . Have you seen the exhibition halls ? On display are most of our products , such as silk , woolen knitwear , cotton piece goods , and garments . </UTT>","I haven't, but I want to see what's on for sure.",oEffect,single
"</UTT>Ms . Wang , this is Mr . Cooper , president of Ivy Publishing . </UTT> It's nice to meet you , Mr . Cooper . </UTT> Nice to meet you , Ms . Wang . You must be exhausted after your long trip from Canada . </UTT>"," Yes , it was quite a long flight . I'm glad to finally be here . ",oEffect,single
"Agreed. They look so silly in my opinion. A lot of rapping attire looks silly too. But the rapper Tupac was very talented as his music is in the library of congress of cultural significance.</UTT>I'm surprised they would include any rap at this point to be honest. Speaking of rap, do you know what Eminem wanted to be before he was a rapper?</UTT>I didn't know that. Very interesting. Rappers also have some odd beliefs. Like Kanye West who thinks AIDS is a man-made disease.</UTT>Eminem actually wanted to be a comic book artist. Kanye West is very strange and has a lot of strange ideas. </UTT>",Yes he is. But I think he is good because he has done some good things like giving a mic to a fan in a wheelchair at his concert.,oEffect,single
</UTT></UTT></UTT>What's wrong with Debbie today ? She seems upset about something . </UTT>,I think she's just upset that she's not getting the attention she wants.,oEffect,pair
"Another one I like is A Hard Days Night.  Think I relate to the line that goes ""And I've been working like a dog."" 1) Because I'm overworked and 2) because I'm a dog person. You like dogs?</UTT>Yes, I am a dog person.  Good segue, by the way.  I have 2.  Do you have any?</UTT>Don't have any but my kids keep bugging me for one.  They keep reminding me ""they're man's best friend!"" Thinking that will make me think it'll be easier to take care of.  What kind of dogs do you have?</UTT>I have a 12 year old yellow lab and a 10 year old yorkie/ poodle mix and they are the best and are truly man's best friend!</UTT>",Do they get along very well ? My kids are allergic to dogs and I'm hoping to get a dog for them to help balance it out,oEffect,pair
"i would shop all day ! what do you like to do in your spare time ?</UTT>i love making boats in my spare time on weekends , what about you ?</UTT>i love to go dancing . i love eating out . do you have any favorite foods ?</UTT>my favorite food is chicken ! its actually my dogs favorite food too ! his name is bob</UTT>",i LOVE chicken . bob's my best friend . i'd eat it for days,oReact,single
I think Yoga might be suitable for me . </UTT> Why ? </UTT> Because it doesn't require a lot of energy and thus easy to keep up . </UTT> But I see people sweat a lot doing Yoga too . </UTT>,"You can do yoga while sweating ? I thought it was only cool if you had a sweat gland in your body .
",oReact,single
" Who is going to look after a dog or a cat ? </UTT> I will ! I'll feed it , bathe it and walk it every day ! We can get a Labrador or a German Shepard ! </UTT> What if we want to take a vacation ? Who will we leave it with ? Plus , our apartment is too small for that breed of dog . </UTT> Ok . How about we get a cat or a ferret ? </UTT>"," We're planning on having children soon , I don't think those animals are a good idea with a baby in the house . ",oReact,single
"Hello , is Sue there ? </UTT> Who ? </UTT> Sue John . </UTT> You must have the wrong number . </UTT>","I was making a joke about the fact that Sue is a common name in the movie The Big Lebowski .
",oReact,pair
i thought about getting something to eat i seem to be hungry all the time</UTT>are you diabetic or your appetite is very high ?</UTT>no my wife and kids think i should visit the doctor</UTT>okay but if you do a lot of work you deserve to eat</UTT>,im working a full time job i just need to go to a doctor to check my appetite . i think it is high,oReact,pair
"Hi, how are you?</UTT>Good! You?  Are you into Fiction at all?</UTT>A little and I prefer non-fiction. Do you like it?</UTT>I read mainly non fiction too,  but I can get in to some of it. I think it is cool that there is a wiki that ranks fictional characters according to their powers.</UTT>","Oh I like that idea , it is nice to see people's personal opinions on their favorite characters and have no privacy.",oWant,single
"is that your favorite ? i am so tired i am expecting my first child .</UTT>yes they are , oh wow your first ? boy or girl ?</UTT>i am not sure i hope its a boy . my dad is so judgemental .</UTT>why is he judgemental ? do you have a job ?</UTT>",my dad is a preacher an is crazy we live in the old country,oWant,single
"Well , tell me something of yourself . </UTT> What would you like to know , Mr . Green ? </UTT> What working experience have you get ? </UTT> In 2004 , I got a job in the sales department of a trading company near Guangzhou . I started a sales representative . A year later , I was promoted to the position of sales manager . I had that job ever since , which is just over a year now . </UTT>","Thats a nice job!  thats a long time, I wonder if you're still on the job lol I have been doing it a nice nice job.  lol ",oWant,single
"Haha. Like Bill Bailey, an old tap dancer and Michael Jackson! Bill Bailey was first recorded moonwalking in 1955.</UTT>So someone was moonwalking for anyone (literally) moon walked? </UTT>Ha! That's a funny way to put it. I wonder what the called it back then? Maybe if he had been wearing those ballet slippers that make drawings from the movements we could come up with a better name.</UTT>I hear they go through four pairs of pointe shoes a week. Lots of wear.</UTT>","I'm sure the man who moonwalked is wearing ballet slippers. But that joke is funny .
",oWant,pair
" Don't worry . I'Ve decided that for your birthday I'm going to take you shopping for a new dress . </UTT> Really ? I thought you hated shopping ? </UTT> I do , that's why you should appreciate this gift ! </UTT> Sure . That's really nice of you . Let's go in and try some things on . </UTT>","I am really glad that you appreciate my gift of giving to a young girl . You're so nice .
",oWant,pair
lol its ok . what do you do for a living</UTT>i am a state trooper state of michigan !</UTT>wow thanks for your service i am a trauma doctor at las vegas general</UTT>you have a very important job also</UTT>,thanks . i enjoy but also hate seeing people hurt,xEffect,single
"</UTT>Room service.What can I do for you ? </UTT> l am afraid there isn't any fancy soap in my room . </UTT> Sorry sir , we will bring you one.Anything else ? </UTT>",Okay then just a bit more soap . You may not like it though.,xEffect,single
</UTT></UTT></UTT>Why are you holding me in this jail cell ? </UTT>,I'm holding you down to make you a better human being ! !,xEffect,single
"</UTT>the James's file , Christine ? </UTT> I had it right here a minute ago , Mr . Emory . Umm . Just a minute ... </UTT> Christine , I know you're new here and there's a lot to learn , but you are going to have to learn to keep your work in better order . We can't afford to lose an important document . </UTT>",good for you.  It was all good.,xEffect,pair
</UTT></UTT></UTT>Why aren't you doing well in the class ? </UTT>,"pretty good,  how about you ?",xEffect,pair
"</UTT>Ms Anderson , my name is Mike . I am Division Chief of ABC Company . Welcome to Toronto . </UTT> Thank you . It's a pleasure to meet you . </UTT> A pleasure meeting you as well , the flowers are for you . </UTT>","I will send you flowers for every day you are here.
",xReact,single
"I feel like going for a drink , it's been a long day . </UTT> Great idea ! Peter , I could use the drink . </UTT> How about the new bar across the road ? </UTT> Sounds good . The food there is fantastic too . </UTT>","Sounds awesome . I think we should go there , it'll be a nice evening .
",xReact,single
"Billy , you are late again . </UTT> I'm sorry I'm late . I overslept . Is the manager here today ? </UTT> Yes he ' s in his office . </UTT> Oh , I hope he didn't notice me . </UTT>","I think he noticed you . He just didn't like the fact that you overslept .
",xReact,single
"That's crazy, I wonder if they'll ever fix that, plenty of things they can do about that but never attempt it. </UTT>Since 1900 the taller candidate has won the US presidential election. Hope that's just a coincidence!</UTT>Oh wow, that's pretty crazy. I'm 6'4"", I should run for president lol. </UTT>Ha, maybe you should. Officials in Athens didn't have much faith in elections. They thought it would lead to oligarchy.</UTT>",I'm pretty sure they did have faith in elections . The problem was that it didn't lead to a monarchy and they cannot success.,xReact,pair
"They did that, so they wouldn't be used as weapons. Smart move.</UTT>Yeah it is. I'd hate to be stabbed to death with a hat pin. </UTT>That does sound like a painful way to die. I do like  the fact that Kanye gave his mic to a fan in a wheelchair once. He does have a few redeeming qualities.</UTT>Yeah he does have a few. He once did an SNL skit mocking for interrupting awards shows....2 years before the infamous Taylor Swift incident.</UTT>","I have no idea what that is, as I don't pay attention to her either. ",xReact,pair
i like baseball. i usually watch the world series. You?</UTT>I'm a fan.  Did you know that baseball managers wear uniforms because they are technically able to play for their teams if needed.</UTT>I think that is a holdover from the old days. i bet back then a player was chosen to also be manager.</UTT>I'm not sure how that worked.  The last one to do that I remember was Pete Rose back in the late 80's.  He played every day and managed at the same time.</UTT>,"yeah, he was a competitive guy. probably perfect for the dual role of manager/player.",xIntent,single
"</UTT></UTT>Have you enjoyed your weekend ? </UTT> Yes , it's been marvelous . It really was very kind of you to invite me . I hope it hasn't been too much trouble . </UTT>",I've had a bit of trouble but it's all better now .,xIntent,single
" Not long , because people rush for lunch . </UTT> The line sure does move fast . </UTT> Tell the man behind the counter what you want . </UTT> OK . I like that green vegetable but I don't know how to call it . </UTT>", Just point to it if you don't know the name . ,xIntent,single
"Can you give me more details on what is included in the package ? </UTT> Sure . The coach leaves at 6:30 a . m . , in front of our office . The drive takes eight hours , with two stops to see some sights . </UTT> What about the hotel accommodations ? </UTT> You'll be staying at Holiday Inn . It's a three-star hotel with two restaurants and a swimming pool . </UTT>",Thats great!  I like to stay in hotels but haven't been staying at hotel  Have you stays in hotels before?,xIntent,pair
"Did you know the taller candidate has won the US Election 75% of the time? </UTT>I had heard that.  It is an interesting metric to think about when it comes to elections.  I wonder if that accounts for popular vote, or just the election.</UTT>I'm not sure, good question. There are 3 subways lines exclusively for congressmen though!</UTT>That is kind of crazy.  Did you know Elmo testified before congress?</UTT>", I wonder if that's why he was so popular.,xIntent,pair
" I need to rent three pairs of skates for the morning . </UTT> What sizes do you need ? </UTT> One pair of 37 , and two pairs of 21 . One for me , and the other two for two kids . </UTT> Here you are . And here are three crash helmets . </UTT>",You can get a crashy helmet from the local skate shop . Just bring your own skateboard and after that you'll be fine .,xWant,single
"Would you check the engine , please ? It is knocking . </UTT> Sure . Do you want to have the car washed ? </UTT> Yes , please . When can you get it done ? </UTT> You can pick it up in half an hour . By the way , how are you going to pay , cash or credit ? </UTT>","Credit card . And I'll take it over to your place . I'm just going to go out , put the car in neutral and then drive it off .
",xWant,single
"me ? drinking . if i am not drinking , then i am wasting time thinking .</UTT>oh , what season do you like ?</UTT>i like all season . how about you ? do you have family ?</UTT>i have no family , but i love the winter and snow , do you drive</UTT>","no driving . my family loves me , but they tend to stay away .",xWant,single
How did you find your apartment ? </UTT> You can check on the bulletin boards at school for local housing . </UTT> What if I need a roommate ? </UTT> There are websites that can hook you up with a roommate . </UTT>,"You could also ask people in your classes if you could stay with them and then you'll have a place to live .
",xWant,pair
"have you ever been to tanzania . my best friend lives there and she takes lessons</UTT>no , i have several stamps from there . i am a collector .</UTT>that is cool . i collect too , only flip flops . i love wearing them !</UTT>i would love to wear them more , sadly they are banned at work .</UTT>",i work with kids so we are always wearing flip flops at work lol .,xWant,pair
"it is unclear what you are referring to . do you drive ?</UTT>i was refering to bears and i drive to go get sunfish</UTT>oh okay , totally . so do i , but i get paid for it .</UTT>that is amazing where do i sign up</UTT>",fill out the necessary paperwork and send it to the rector of your parrish .,HinderedBy,single
</UTT>I'm really in a flap about the interview . </UTT> Take it easy.you ' Ve made enough preparations . </UTT> I'm in such a need of the job that I can't afford any mistakes . </UTT>,"Lol, maybe you can get a few pop albums out too, he has already done 4 pop albums",HinderedBy,single
"hello ! what is your favorite thing to eat ?</UTT>i am a burger kind of gal , and grew up on a ranch ,</UTT>very nice ! i love pizza , myself ! did you have any animals on your ranch ?</UTT>running relaxes me i love to do it</UTT>","I have done it before, it's great, and great it gets you exercise and you do that, its also great for your physique, what do you think?",HinderedBy,single
"</UTT>Ms . Wang , this is Mr . Cooper , president of Ivy Publishing . </UTT> It's nice to meet you , Mr . Cooper . </UTT> Nice to meet you , Ms . Wang . You must be exhausted after your long trip from Canada . </UTT>",Maybe that's why you can't get away with the president of indonesia releasing 3 pop albums while in office.,HinderedBy,pair
"I heard about it.  She was talented.  By the way,  Marcia is no longer married to Lucas.</UTT>Whoa!  I didn't know that.  Maybe George doesn't have as much as that $65 billion as I thought.  Yikes.</UTT>It's okay.  Marcia is entitled to the money too.  She want the award, remember?</UTT>Yes!  lol  James Earl Jones took only 2.5 hours to record all of the parts for Darth Vader for the original movie.</UTT>","She was too busy to do all that , but the other half of the credits were just Jar Jar .",HinderedBy,pair
"I'd like to withdraw some money from my account . </UTT> Can I see your passbook and the withdrawal slip , please ? </UTT> Sure . </UTT> Let me just make sure . You want to withdraw one thousand dollars ? </UTT>",no i don't think i would do that. What about You ?,isAfter,single
